date,article_count,avg_sentiment_score,bullish_count,bearish_count,neutral_count,bullish_ratio,bearish_ratio,avg_urgency_score,breaking_news_count,high_urgency_count,sentiment_std,open,high,low,close,volume,daily_return,rsi_14,macd,macd_signal,sma_20,sma_50,bollinger_upper,bollinger_lower,atr_14,volatility_20d,trend_direction,next_day_return,return_2d,return_5d,price_up,sentiment_bullish,high_bullish,high_bearish,price_range,abs_return
2024-02-29,12,6.0333,4,4,0,0.3333,0.3333,3.75,0,0,12.8776,2034.3,2049.8,2034.3,2045.7,706,0.006247,54.9963,1.8968,-1.3599,2025.215,2031.3,2057.5147,1992.9153,15.2357,0.005581,bullish,0.02014,0.035195776506819154,0.054895634746052746,1,1,0,0,0.007619328515951545,0.006247
2024-03-01,8,16.5,4,2,0,0.5,0.25,4.0,0,0,17.9617,2043.1,2086.8999,2041.8,2086.8999,1210,0.02014,68.9964,6.4034,0.1928,2026.91,2032.512,2067.772,1986.048,17.5857,0.007175,bullish,0.014759,0.02232982041927367,0.0439408713374323,1,1,0,0,0.022074249914345815,0.02014
2024-03-04,4,1.2,4,0,0,1.0,0.0,9.75,0,0,0.0,2083.6001,2119.8,2080.7,2117.7,805,0.014759,75.7639,12.3182,2.6179,2030.99,2034.098,2088.5848,1973.3952,19.3857,0.00748,bullish,0.007461,0.0153940595929547,0.03059923501912465,1,1,1,0,0.01876559710282235,0.014759
2024-03-05,9,8.1,6,2,0,0.6667,0.2222,5.0,0,0,7.7754,2114.8999,2133.5,2111.3999,2133.5,1287,0.007461,88.2898,18.0723,5.7088,2036.38,2036.078,2109.873,1962.887,18.4071,0.007379,bullish,0.007874,0.011483477853292623,0.012608343098195363,1,1,0,0,0.010449714428564733,0.007461
2024-03-06,9,-0.1556,2,3,1,0.2222,0.3333,0.0,0,0,0.7535,2125.5,2150.3,2125.5,2150.3,443,0.007874,90.4449,23.7147,9.31,2042.17,2038.302,2131.5651,1952.7749,19.5571,0.007464,bullish,0.003581,0.013161000790587352,0.011672743338138725,1,0,0,0,0.011667842860503496,0.007874
2024-03-07,9,2.5667,6,0,0,0.6667,0.0,2.0,0,0,7.2923,2147.0,2163.0,2147.0,2158.0,152,0.003581,90.2426,28.4794,13.1438,2048.31,2040.32,2151.4946,1945.1254,19.4929,0.007443,bullish,0.009546,0.011353104726598673,0.0023169601482855295,1,1,0,0,0.007452258965999069,0.003581
2024-03-08,9,10.0778,8,0,0,0.8889,0.0,4.3333,0,0,6.7177,2167.3,2194.8999,2166.3,2178.6001,259,0.009546,90.776,33.5312,17.2213,2055.63,2042.728,2173.7004,1937.5596,21.0571,0.007506,bullish,0.00179,-0.008354080218760718,-0.009776966410678045,1,1,1,0,0.013196096525630833,0.009546
2024-03-11,6,14.7,3,1,0,0.5,0.1667,5.5,0,0,16.0453,2181.0,2184.0,2177.2,2182.5,738,0.00179,90.1971,37.4182,21.2607,2063.59,2044.74,2193.3683,1933.8117,20.2929,0.007288,bullish,-0.010126,-0.0032531958762886948,-0.009988545246277236,0,1,0,0,0.0031178358551124173,0.00179
2024-03-12,9,1.6111,2,5,0,0.2222,0.5556,3.0,0,0,14.8966,2182.5,2182.7,2160.3999,2160.3999,550,-0.010126,82.928,38.2741,24.6634,2070.7,2046.47,2205.4921,1935.9079,21.4643,0.007815,bullish,0.006943,0.0012035271803152447,-0.001897750504431972,1,1,0,1,0.010217686139747963,0.010126
2024-03-13,6,18.6333,4,0,0,0.6667,0.0,9.0,0,0,6.2934,2162.5,2175.3999,2162.5,2175.3999,20,0.006943,85.0517,39.7051,27.6717,2079.825,2048.73,2217.127,1942.523,21.5714,0.006877,bullish,-0.0057,-0.008320263322619259,-0.008044497933460404,0,1,0,0,0.005965271676300526,0.006943
